,2000s,2010s,1990s,1970s,1980s
suffragette,103,5,0,40,0
suga,241,111,29,0,0
sugar,2542,947,174,26,25
suggest,319,104,9,0,1
suggestions,80,32,0,0,1
suh,104,66,3,1,0
suicidal,233,91,5,6,0
suicide,1493,527,51,24,8
suis,143,31,17,0,0
suit,1365,536,38,7,13
suitcase,502,178,35,7,8
suite,131,123,2,1,1
suits,650,188,35,5,8
sullen,101,22,2,0,0
sum,447,147,7,1,1
summer,6586,3129,220,55,52
summers,892,320,41,7,4
summertime,797,370,36,6,1
summon,205,52,1,0,3
summoned,86,31,2,0,4
sumthin,178,36,2,0,0
sun,21618,10167,905,249,199
sunbeam,64,49,2,1,0
sunday,2480,976,106,23,10
sundays,173,71,14,1,3
sundown,261,135,12,0,3
sung,682,273,35,13,2
sunglasses,115,77,7,3,0
sunk,203,121,8,0,0
sunken,161,45,4,2,2
sunlight,1121,576,25,12,6
sunny,1353,740,47,17,50
sunrise,1144,538,42,13,10
suns,673,279,31,14,11
sunset,1083,537,80,12,12
sunsets,168,74,10,1,1
sunshine,3401,1344,104,34,41
sup,138,56,4,0,0
supa,144,99,0,0,0
super,1781,1448,43,5,19
superficial,174,45,4,0,1
superhero,101,173,0,0,0
superior,223,52,11,1,1
superman,518,326,4,2,2
supermarket,108,16,1,0,0
supermodel,86,51,0,0,0
supernatural,209,73,13,2,0
supernova,74,46,3,0,7
supersonic,106,79,0,0,1
superstar,599,317,8,10,0
superstars,68,54,1,0,0
superstition,114,37,3,0,2
superstitious,100,46,2,2,2
supper,243,90,24,3,1
supply,369,159,13,2,3
support,585,241,20,0,8
suppose,1105,353,30,12,6
supposed,3156,1438,90,24,12
supreme,521,148,9,3,2
sur,238,44,18,0,0
sure,14324,5614,681,159,164
surely,1715,658,106,37,22
surf,256,113,4,1,0
surface,804,386,17,1,9
surfer,141,11,0,17,1
surfin,177,71,1,19,4
surfing,120,48,3,1,0
surge,88,27,3,0,0
surgeon,111,40,3,1,3
surgery,199,79,6,7,0
surprise,2259,922,98,18,17
surprised,852,386,36,7,17
surprises,156,49,6,0,3
surprising,79,42,6,5,1
surreal,130,93,5,0,0
surrender,1850,1192,81,11,24
surrendered,85,52,3,0,1
surround,754,312,27,2,9
surrounded,830,426,21,3,6
surrounding,362,158,6,1,0
surroundings,100,34,1,2,0
surrounds,580,179,23,5,4
survival,619,189,23,5,10
survive,3568,1558,124,19,39
survived,407,183,18,1,1
survives,162,50,2,0,2
surviving,163,69,2,2,0
survivor,261,189,3,2,9
survivors,148,62,30,26,7
susan,109,29,2,12,0
susie,205,63,2,2,0
suspect,201,67,6,3,4
suspended,208,59,6,5,1
suspicion,169,62,11,8,9
suspicious,233,77,4,0,2
sustain,114,62,4,1,1
suzanne,101,21,1,2,0
suzie,143,19,7,0,0
suzy,111,25,7,2,1
swag,306,696,0,0,0
swagger,194,231,1,0,1
swallow,1698,740,47,12,10
swallowed,631,238,18,2,2
swallowing,175,74,5,0,1
swallows,190,61,3,0,0
swam,145,68,0,1,1
swamp,183,39,2,2,2
swan,198,73,9,0,1
swang,258,46,0,0,0
swangin,110,34,0,0,0
swans,100,42,1,1,0
swap,109,50,4,0,0
swarm,231,70,4,0,3
sway,645,346,26,3,4
swaying,224,100,5,1,3
swear,4137,3462,219,31,38
swearing,78,35,5,0,3
swears,139,31,7,3,1
sweat,2524,1157,75,12,14
sweater,267,233,16,0,0
sweatin,328,96,6,0,4
sweating,306,132,8,1,4
sweats,122,79,1,2,5
sweaty,196,72,6,0,4
sweep,484,363,24,7,9
sweeping,211,83,13,4,1
sweeps,106,39,2,1,4
sweet,16944,7011,1043,393,245
sweeter,886,456,43,9,8
sweetest,972,454,61,17,18
sweetheart,785,265,49,3,14
sweethearts,135,38,9,0,0
sweetie,138,83,4,0,1
sweetly,396,132,10,4,2
sweetness,335,151,14,4,5
sweets,120,73,2,1,1
swell,588,214,20,3,8
swelling,141,76,1,0,0
swells,101,30,6,0,0
swept,690,249,34,5,6
swerve,165,181,7,0,0
swervin,115,79,7,0,0
swerving,45,107,0,0,0
swift,442,132,13,2,3
swiftly,142,56,11,0,2
swim,1450,801,59,8,12
swimmin,216,76,10,1,2
swimming,886,594,17,5,10
swims,124,23,4,0,0
swine,274,58,5,0,3
swing,2477,1020,126,12,21
swingin,535,201,18,6,5
swinging,779,316,20,4,1
swings,276,95,10,0,4
swipe,36,109,0,0,0
swirl,138,32,5,1,1
swirling,160,60,9,2,0
swisha,67,57,0,0,0
swisher,64,107,1,0,0
swiss,137,48,2,2,1
switch,1548,817,41,7,11
switchblade,79,24,6,2,1
switched,200,158,2,0,3
switches,212,50,6,0,1
switchin,145,68,1,0,2
switching,113,184,4,1,0
swizz,152,32,0,0,0
swollen,347,95,6,1,2
swoop,99,19,1,0,1
sword,1316,412,60,10,10
swords,497,116,13,2,2
swore,789,366,50,8,10
sworn,298,127,8,1,4
swung,135,46,5,0,3
symbol,262,82,6,1,2
symbols,165,36,3,1,4
symmetry,69,69,0,1,1
sympathize,117,48,5,0,0
sympathy,755,309,22,14,11
symphony,472,286,18,18,8
symptoms,137,51,6,0,1
sync,125,66,1,0,1
syne,125,68,1,0,1
synthetic,109,31,6,1,0
syrup,139,206,2,0,0
system,1919,658,57,6,37
systematic,88,41,1,0,0
systems,338,105,15,1,4
ta,1843,572,58,4,24
tab,124,110,5,0,2
table,2062,924,106,27,36
tables,594,315,25,1,7
taboo,91,31,1,0,0
tac,99,55,4,0,0
tack,102,26,18,0,0
tackle,93,35,5,0,1
taco,105,39,0,0,2
tactics,168,44,3,1,0
tae,114,27,0,0,0
taffy,222,9,0,0,0
tag,434,283,8,0,3
tags,209,187,1,0,0
tah,75,26,13,1,0
tail,823,388,54,7,17
tailor,123,78,0,1,1
tails,265,125,10,3,5
taint,67,58,0,6,0
tainted,294,80,6,0,2
take,82538,41759,3190,831,712
taken,3831,1410,144,25,29
taker,146,74,5,0,1
takes,7991,3024,289,98,77
takin,2853,894,102,62,12
taking,6743,4133,192,68,44
tale,1174,398,49,7,14
talent,306,167,10,2,4
talented,77,34,5,0,2
talents,77,49,2,0,0
tales,823,344,25,7,4
talk,17111,8369,708,171,180
talked,1077,373,47,12,6
talker,81,63,7,0,0
talkin,5981,2482,300,65,58
talking,6970,4641,244,75,83
talks,898,367,50,6,14
tall,2546,1252,123,27,38
taller,207,143,6,1,1
tallest,66,78,4,0,1
tambourine,193,80,13,7,1
tame,528,254,12,1,6
tamed,140,77,4,1,1
tan,460,328,21,3,6
tang,213,113,2,0,0
tangerine,98,37,4,0,0
tangle,185,41,2,0,0
tangled,464,304,24,5,20
tango,271,77,2,0,3
tank,598,273,10,1,3
tanks,144,42,7,0,2
tap,490,311,16,0,6
tape,1228,432,33,1,19
taped,129,45,1,0,0
tapes,316,88,15,4,0
tapped,166,52,5,0,1
tappin,90,41,4,0,0
tapping,156,80,0,0,1
tar,197,59,7,1,3
target,565,227,14,2,10
targets,117,39,3,1,2
tarnished,84,24,5,1,0
tarzan,101,45,3,0,0
task,376,116,11,1,2
taste,5711,2694,177,28,61
tasted,500,162,21,12,1
tastes,523,256,19,5,3
tasting,199,85,6,2,1
tasty,242,63,10,0,2
tat,514,286,8,4,0
tatted,108,133,3,0,0
tattered,190,71,8,2,6
tattoo,531,360,14,3,3
tattooed,228,118,20,0,1
tattoos,243,196,3,0,12
taught,2226,1007,108,37,23
taunt,98,45,6,0,2
tavern,106,29,6,1,0
tax,371,164,23,4,16
taxes,163,95,8,1,2
taxi,344,138,14,2,7
taylor,138,120,10,1,1
tch,60,227,1,0,0
te,1106,413,35,11,4
tea,928,425,39,15,9
teach,2310,1271,87,12,14
teacher,816,255,24,15,5
teachers,413,146,8,1,8
teachin,117,22,5,1,0
teaching,227,104,1,0,3
team,1632,1341,39,1,2
teams,113,51,3,0,0
tear,5947,2525,209,19,47
teardrop,209,74,10,2,2
teardrops,635,156,48,7,17
tearin,276,66,7,0,3
tearing,1170,526,47,8,10
tears,14008,4947,595,139,170
tease,776,353,76,6,10
teasin,89,39,12,0,1
teasing,184,65,2,2,4
tec,167,62,1,0,0
tech,440,159,4,0,2
technique,173,55,2,0,1
techno,85,64,5,0,0
technology,251,86,5,0,1
ted,100,39,6,1,0
teddy,223,104,8,1,0
tee,603,155,8,2,7
teen,244,108,3,0,1
teenage,622,287,20,8,11
teens,133,44,4,1,0
teeth,2204,1132,61,5,24
teflon,115,29,2,0,0
tek,361,160,5,7,0
telephone,1514,446,95,16,23
telescope,77,48,2,0,0
televised,84,57,0,11,0
television,587,176,12,5,8
tell,59736,30861,2868,659,568
teller,131,71,5,3,1
tellin,2167,854,100,6,12
telling,4632,2324,216,37,46
tells,1918,715,113,26,14
telly,152,74,5,0,0
temper,251,137,10,1,0
temperature,359,167,11,0,3
temperatures,110,64,9,2,4
tempest,111,28,3,1,0
temple,702,216,13,2,2
temples,153,36,4,2,0
tempo,241,110,21,3,2
temporary,324,165,11,1,3
temps,95,13,5,0,0
tempt,277,96,11,1,1
temptation,1157,300,39,2,9
temptations,162,57,8,3,0
tempted,294,114,12,3,1
tempting,195,71,7,0,0
ten,4720,1827,205,53,54
tend,398,209,5,3,2
tender,2035,702,106,40,22
tenderly,329,145,17,12,18
tenderness,526,137,54,6,37
tends,106,30,10,1,1
tennessee,825,282,58,14,14
tennis,165,61,7,1,0
tenor,137,14,5,0,2
tens,69,56,2,1,1
tense,254,95,5,1,5
tension,509,165,14,1,4
tent,209,65,8,3,2
tenth,135,35,26,1,1
tequila,264,126,26,2,2
term,147,68,10,2,2
terminal,201,32,3,0,1
terms,310,87,8,2,2
terrible,697,231,29,6,7
terribly,93,52,2,0,1
terrified,245,187,4,0,0
territory,148,47,8,0,0
terror,1213,218,20,1,10
terrorist,118,18,3,0,1
terry,153,43,14,0,1
tes,132,21,5,0,0
test,2489,947,82,19,11
tested,174,47,3,1,1
testify,260,152,8,9,0
testimony,89,48,4,0,0
testin,111,29,3,0,0
testing,213,122,2,4,1
tests,96,37,1,0,2
texas,1344,388,53,7,18
text,270,578,2,0,0
texting,14,161,0,0,0
th,264,121,4,0,2
tha,3553,586,123,0,2
thang,2001,866,63,2,1
thangs,661,163,15,0,0
thank,4962,2247,239,80,65
thankful,478,253,14,12,0
thanking,107,46,3,1,1
thanks,1619,733,88,20,15
thanksgiving,78,42,7,0,1
thatd,156,64,7,2,0
thats,58489,28806,2443,586,477
theater,126,33,4,6,0
theatre,116,29,6,2,0
thee,2252,680,91,21,5
theme,280,98,7,2,8
theodore,104,13,1,0,0
theories,97,18,3,0,0
theory,188,57,5,1,0
therapy,249,83,3,1,10
thered,337,106,8,1,3
therefore,244,59,10,1,2
therell,1833,687,110,39,14
theres,53522,23409,2309,547,628
theyd,1476,523,55,10,13
theyll,5169,1969,211,85,56
theyre,14224,5643,704,168,203
theyve,2659,838,108,40,52
thick,1492,704,51,3,16
thicker,257,188,4,0,0
thief,742,323,36,8,24
thieves,504,192,29,3,2
thigh,139,82,5,4,2
thighs,660,287,12,1,3
thin,1995,738,48,17,21
thine,329,71,11,1,0
thing,27758,13489,1237,324,262
things,37075,15202,1501,418,313
think,52374,24693,1977,573,542
thinkin,4268,1525,182,19,34
thinking,9269,5410,350,124,74
thinks,1919,598,66,22,13
thinner,104,48,4,3,1
third,1330,502,55,15,17
thirst,747,242,25,10,3
thirsty,478,376,18,4,2
thirteen,455,142,12,4,3
thirty,1197,420,57,10,5
thisll,104,48,1,13,0
tho,369,325,11,2,4
thomas,200,47,8,1,1
thong,216,90,2,0,0
thorn,417,121,9,1,11
thorns,520,167,24,0,1
thorough,152,46,6,0,0
thou,1455,654,57,4,1
though,13074,6491,548,135,101
thought,21264,9288,875,220,174
thoughtless,97,21,2,1,2
thoughts,5835,2220,177,49,38
thousand,5528,2314,193,65,30
thousands,604,185,17,2,8
thread,502,293,25,0,5
threads,188,60,13,0,1
threat,603,206,21,1,17
threaten,111,38,1,0,1
threatened,121,56,3,1,2
threatening,95,28,1,0,0
threats,261,83,8,0,1
three,9338,3711,399,93,123
threes,133,52,4,1,3
threshold,151,38,6,0,0
threw,1844,858,90,15,27
thrill,1925,856,159,37,24
thrilled,124,46,5,1,1
thriller,89,90,1,0,0
thrilling,150,73,9,0,0
thrills,408,153,11,2,9
thrive,157,84,3,1,2
throat,1687,612,53,6,17
throats,196,53,3,0,1
throne,1216,659,47,15,6
thrones,66,41,5,1,2
throttle,129,93,3,2,5
throughout,635,196,28,1,18
throught,118,29,3,1,0
throw,8400,4548,295,35,59
throwback,99,46,0,0,0
throwed,182,96,0,0,0
throwin,681,378,19,0,4
throwing,980,679,26,5,15
thrown,1182,462,42,3,12
throws,300,125,19,1,3
thru,957,490,33,26,6
thrust,215,77,5,15,0
thug,3335,658,61,3,1
thugged,186,33,3,0,0
thuggin,398,151,4,0,0
thuggish,181,15,0,0,0
thugs,1964,201,26,2,2
thumb,387,154,12,4,3
thumbs,147,85,4,0,2
thump,301,125,8,1,0
thumpin,174,26,4,0,0
thumping,76,50,1,0,0
thunder,2263,861,106,19,33
thundering,73,40,2,0,0
thunders,86,25,3,0,0
thursday,356,133,13,7,3
thus,429,118,10,2,1
thy,2090,526,84,14,7
ti,490,231,23,1,16
tic,213,141,7,0,0
tick,1077,512,37,5,5
ticket,1167,594,64,32,33
tickets,322,135,11,4,5
tickin,211,68,12,0,2
ticking,563,443,30,2,0
tickle,181,65,10,3,0
ticks,143,43,1,0,1
tidal,157,77,3,0,4
tide,1772,781,84,19,11
tides,421,218,21,2,1
tidings,292,132,44,1,0
tie,1559,682,63,11,27
tied,1978,799,71,16,16
ties,791,339,22,10,5
tiger,478,269,11,20,1
tigers,145,69,6,4,4
tight,7367,3067,325,69,83
tighten,177,44,5,0,1
tighter,391,167,24,1,19
tightly,275,108,7,0,2
tightrope,117,51,11,0,3
tights,77,33,6,0,0
tik,1,153,0,0,0
til,9858,5988,443,54,112
tiles,113,19,0,0,1
till,15969,7606,677,156,189
tilt,169,67,5,0,0
tim,221,46,4,0,0
timber,104,44,5,0,0
timbs,101,36,1,0,0
time,121694,54531,4855,1234,1228
timeless,263,147,10,3,0
timer,101,41,10,5,0
times,16985,6933,658,206,160
timin,128,24,3,1,2
timing,352,213,9,8,4
timmy,82,67,0,0,1
tin,533,184,43,5,14
tina,158,128,14,0,1
ting,361,380,10,0,1
tingle,107,52,5,0,0
tingling,71,45,7,4,0
tings,85,48,9,1,0
tinsel,102,23,4,1,1
tint,97,65,1,0,0
tinted,190,88,3,1,1
tiny,1293,458,42,8,17
tip,1506,721,43,5,17
tipped,111,38,6,0,0
tippin,179,68,0,0,0
tips,456,198,10,3,6
tipsy,134,138,8,2,0
tire,368,148,11,0,2
tired,7606,3453,337,79,80
tires,343,231,13,1,2
tis,304,108,25,10,1
tissue,238,74,5,0,2
tit,106,28,0,1,0
titanic,76,44,2,0,0
title,364,117,13,4,2
tits,329,144,18,11,4
titties,217,252,6,0,2
titty,98,50,0,0,1
toast,1039,476,25,6,6
tobacco,147,87,4,0,0
toc,63,75,1,0,0
tock,453,241,10,1,2
today,13550,5462,540,176,153
todays,440,144,17,1,1
todo,93,42,1,0,0
toe,1125,617,36,5,4
toes,1155,650,57,13,19
together,16505,8282,877,243,265
toi,225,65,24,0,0
toil,148,46,7,3,1
toilet,298,121,9,3,4
toke,124,60,5,0,1
token,209,53,3,1,2
tokyo,270,118,10,2,18
told,16296,9086,723,209,119
tolerance,110,48,1,0,0
tolerate,158,44,2,0,1
toll,688,218,31,5,10
tom,555,276,28,3,25
tomb,567,186,14,1,2
tombs,138,55,8,0,1
tombstone,171,43,19,0,3
tommy,348,137,33,1,1
tomorrow,8635,3863,407,123,88
tomorrows,741,277,40,7,7
ton,512,164,31,0,1
tone,904,492,24,3,21
tones,168,64,5,0,0
tongue,3010,1434,104,9,18
tongues,608,254,22,4,10
tonic,86,49,3,0,1
tonight,27031,15593,1164,221,316
tonights,456,272,9,3,7
tonite,443,45,3,0,0
tonk,452,83,28,21,11
tons,220,61,18,1,3
tony,480,289,10,4,2
took,13570,6365,616,149,123
tool,509,205,9,2,7
tools,435,168,7,1,4
toot,188,89,29,2,10
tooth,491,273,31,8,2
top,8370,5574,263,64,76
topic,175,88,6,0,1
topless,76,34,3,1,1
tops,425,235,19,4,6
torch,455,199,10,7,7
torches,117,30,0,0,1
tore,751,328,34,5,4
torment,475,105,9,0,6
tormented,137,25,38,0,0
torn,2245,973,69,30,21
tornado,108,86,1,1,4
torso,98,24,1,0,1
torture,899,315,21,2,13
tortured,474,127,12,5,9
toss,740,298,19,1,8
tossed,473,163,9,7,4
tossin,101,34,5,0,1
tossing,161,92,4,0,1
total,842,276,23,7,13
totally,634,213,20,4,2
tote,157,69,5,0,0
totin,112,48,4,0,0
tots,88,33,8,0,0
touch,14239,6167,541,91,126
touchdown,54,64,2,0,0
touched,1861,599,76,14,22
touches,377,155,18,3,9
touchin,360,211,4,1,1
touching,829,533,33,10,8
tough,2737,1138,136,18,34
tougher,190,87,4,0,0
toughest,103,46,4,1,1
toujours,106,15,25,1,0
tour,712,408,24,1,1
touring,53,63,2,0,0
tourist,98,46,5,5,2
tours,91,58,4,1,0
tous,114,33,13,2,0
tout,240,49,26,1,0
tow,163,76,2,1,1
toward,506,185,15,1,3
towards,1525,516,67,6,8
towel,295,150,5,0,8
tower,786,275,29,11,15
towering,78,31,3,1,0
towers,374,156,6,4,2
town,14467,6218,860,213,187
towns,482,196,18,7,4
toxic,292,118,4,0,0
toy,935,365,48,2,13
toys,1001,356,37,11,11
tra,137,32,14,0,18
trace,1226,455,48,13,7
traced,96,27,9,0,1
traces,351,102,18,9,3
tracing,108,58,1,0,0
track,3481,1734,194,36,36
tracks,1601,596,66,13,5
tractor,88,50,0,0,3
tracy,110,17,2,0,0
trade,1292,569,36,9,2
traded,267,119,9,3,0
trading,215,60,7,2,7
tradition,230,72,10,2,0
traffic,875,384,25,9,11
tragedies,92,33,3,0,0
tragedy,863,413,18,6,4
tragic,587,256,13,3,2
trail,1075,334,46,6,6
trailer,209,96,11,0,1
trailing,76,36,3,1,0
trails,205,78,7,5,1
train,6163,2091,398,68,95
trained,266,89,10,0,8
training,128,102,3,0,2
trains,566,200,26,12,9
traitor,142,72,10,0,1
traitors,82,41,0,0,0
tramp,223,67,35,10,2
trample,104,21,2,0,0
trampled,133,25,2,1,3
tramps,82,24,7,0,4
trance,457,150,29,3,3
tranquility,106,27,7,0,0
transcend,85,28,6,0,0
transform,180,63,3,0,2
transformation,86,48,2,4,0
transformed,94,52,2,0,0
translation,136,98,6,0,1
transmission,160,59,2,5,1
transparent,152,33,6,0,1
trap,950,1117,32,7,11
trapped,1957,770,51,18,31
trappin,46,134,0,0,0
trapping,26,129,2,0,0
traps,178,70,7,0,3
trash,1264,638,44,6,13
trauma,118,34,3,0,0
travel,1534,660,94,30,6
traveled,546,207,29,5,2
traveler,141,48,1,0,0
travelin,452,96,21,4,1
traveling,619,260,24,3,4
travelled,171,82,7,1,2
travellin,87,29,10,0,0
travelling,267,82,3,3,3
travels,171,54,9,1,2
tray,204,83,4,0,2
tre,162,35,7,0,0
treacherous,99,41,3,0,2
tread,375,155,15,1,3
treading,112,72,11,0,2
treason,209,59,8,3,4
treasure,1013,407,36,6,19
treasures,359,90,14,1,1
treat,3630,1759,276,58,57
treated,689,289,46,11,7
treatin,110,54,11,1,6
treating,313,133,15,4,6
treatment,141,48,6,2,1
treats,310,148,23,13,0
treble,86,66,9,0,0
tree,4558,1834,249,34,30
trees,3660,1628,129,33,32
treetops,86,24,7,0,0
tremble,483,175,27,4,11
trembles,83,29,9,0,1
trembling,527,168,23,1,7
trench,142,44,6,0,2
trenches,143,71,4,0,0
trenchtown,49,30,80,0,4
trend,301,133,8,1,0
trends,177,64,1,0,1
tres,127,49,1,7,0
trey,104,57,2,0,1
trial,482,224,20,5,4
trials,333,154,10,5,1
triangle,111,53,2,2,0
tribal,106,39,18,0,0
tribe,315,59,11,0,1
tribes,129,27,1,1,8
tribulations,84,43,1,1,1
tribute,106,25,3,0,0
trick,1671,597,97,12,7
tricked,127,53,5,1,3
trickin,117,63,3,0,0
tricking,44,69,1,0,0
tricks,1188,488,45,8,5
tricky,221,71,3,0,0
tried,10338,4460,410,90,89
tries,909,296,22,10,16
trife,181,17,6,0,0
trigga,219,33,7,0,0
trigger,1176,541,54,4,9
triggers,150,57,4,0,0
trill,315,292,0,0,3
trillion,74,56,0,1,0
trim,118,60,8,0,0
trinity,118,44,7,2,0
trip,2939,1309,98,10,22
triple,589,300,11,0,5
tripped,201,72,4,0,0
trippin,1260,760,27,14,1
tripping,492,446,12,3,1
trips,390,169,12,1,2
triumph,256,139,2,0,4
triumphant,105,39,6,0,1
trod,96,35,4,4,2
trois,99,15,2,0,0
trombone,91,18,4,1,1
troop,141,20,8,0,0
trooper,85,22,6,0,1
troops,306,79,21,0,5
trophies,91,49,2,0,0
trophy,166,125,3,0,3
tropical,156,85,4,2,2
trouble,4786,2424,367,80,62
troubled,855,295,44,25,3
troubles,1686,763,85,23,23
trough,243,86,18,3,1
trousers,142,31,5,1,0
troy,99,28,2,0,0
tru,274,87,7,1,0
truce,92,46,5,1,0
truck,1936,954,38,13,24
truckin,120,38,16,27,0
trucks,397,146,10,2,5
true,22355,8830,1061,235,226
trues,85,34,1,0,0
truest,116,55,3,0,2
truly,1517,683,56,9,4
trump,149,82,4,0,1
trumpet,230,101,6,11,1
trumpets,193,80,5,0,2
trunk,1232,554,20,2,6
trunks,79,31,2,0,0
trust,6976,3698,345,60,47
trusted,444,175,29,3,1
trusting,319,99,11,1,0
truth,12032,5774,403,74,88
truthful,72,39,1,1,4
truths,285,125,11,0,2
try,30442,14033,1199,288,290
tryin,7738,2145,320,58,39
tryina,148,183,0,1,0
trying,12709,7406,398,108,101
tryna,1904,4328,12,0,0
trynna,118,208,0,0,0
ts,166,58,3,0,3
tu,1185,645,71,16,2
tub,298,98,5,1,1
tube,254,110,5,9,5
tuck,293,140,5,0,3
tucked,308,146,6,0,5
tuesday,465,266,30,7,4
tuff,117,69,1,0,1
tug,170,99,2,1,0
tulsa,85,49,4,0,1
tum,133,54,14,0,0
tumble,524,139,14,5,14
tumbled,110,25,2,0,1
tumblin,142,69,12,2,0
tumbling,447,239,27,17,6
tummy,150,73,3,1,0
tun,80,40,0,0,0
tuna,82,28,1,0,1
tune,2329,904,86,34,32
tuned,196,76,10,0,0
tunes,441,176,12,2,1
tunnel,485,230,18,7,8
tunnels,100,28,7,1,3
tupac,235,21,3,0,0
turf,174,64,11,0,0
turkey,316,119,14,9,1
turn,26944,14639,1072,339,298
turned,7577,3078,283,71,73
turner,88,95,2,0,0
turnin,956,422,64,8,17
turning,4873,2364,212,80,37
turns,3906,1493,190,29,40
turnt,12,430,0,0,0
turtle,181,128,12,3,6
tv,3190,898,141,41,24
tvs,208,43,6,0,4
twas,267,132,18,2,0
twat,80,25,8,0,1
tween,63,44,0,2,3
tweet,44,97,0,0,0
twelve,1017,314,25,7,17
twenties,85,42,2,0,1
twenty,3070,1225,155,27,24
twerk,67,402,0,0,0
twerkin,19,128,2,0,0
twerking,21,125,0,0,0
twice,2951,1249,148,35,37
twilight,881,270,54,4,8
twin,402,165,12,0,0
twine,87,25,3,0,1
twinkle,236,121,9,0,0
twinkling,133,45,7,1,0
twins,198,141,2,0,1
twirk,78,44,0,0,0
twirl,128,93,2,1,10
twist,1866,892,106,18,39
twisted,1812,700,65,7,15
twister,98,35,10,0,1
twistin,177,80,5,0,0
twisting,443,194,30,7,7
twists,151,39,8,0,1
twitch,163,53,3,4,1
twitter,34,169,2,0,0
two,23061,9890,1001,203,267
twos,201,75,3,1,1
ty,96,73,6,2,0
tying,99,52,3,0,6
type,3021,1677,88,4,3
types,193,95,3,0,0
typical,277,143,6,1,2
tyranny,123,52,4,0,0
tyrant,116,54,3,0,0
tyrants,122,49,3,0,0
tyson,146,47,0,0,1
ugh,265,221,4,0,0
ugly,1750,599,53,2,24
uh,13463,7549,684,63,68
uhh,1461,528,41,4,9
uhhh,108,108,1,1,0
uhn,304,26,0,0,0
uhuh,93,22,0,0,0
uk,102,60,1,0,2
ultimate,528,99,14,0,2
ultra,122,45,10,1,1
um,975,417,44,9,8
umbrella,244,125,5,4,1
umm,288,120,17,7,3
un,1542,371,117,2,2
una,180,68,0,0,0
unable,326,102,14,4,7
unafraid,133,76,8,1,0
unanswered,116,38,2,0,1
unaware,323,98,11,3,2
unbearable,100,25,2,0,0
unbelievable,283,126,12,1,0
unborn,218,37,7,0,0
unbound,109,38,2,0,2
unbreakable,129,131,0,0,0
unbroken,205,103,7,0,0
uncertain,254,90,2,6,2
uncertainty,168,82,5,0,5
unchain,105,40,2,0,0
uncle,829,346,58,4,11
unclean,113,19,5,0,0
unclear,127,58,2,0,0
uncles,78,45,2,0,0
uncomfortable,78,72,2,0,0
unconditional,174,107,4,0,0
unconscious,150,43,3,1,1
uncover,97,54,3,0,0
uncovered,97,22,6,0,1
uncut,125,31,0,0,0
und,333,100,0,0,0
undead,189,98,2,0,3
undefeated,49,78,1,0,0
undeniable,61,64,3,0,2
undercover,338,265,36,1,7
underdog,113,83,7,0,1
underdogs,88,51,0,0,1
underestimate,106,61,3,0,0
underground,1763,670,58,20,49
underneath,2169,1249,72,9,13
underrated,52,73,2,0,0
understand,13591,5142,600,129,147
understanding,917,314,16,8,8
understands,589,212,27,9,4
understood,1036,354,40,6,10
undertaker,72,47,3,1,2
undertow,117,81,3,1,2
underwater,258,141,1,0,0
underwear,276,114,9,1,1
underwood,160,26,0,4,0
underworld,173,47,3,0,9
undo,323,155,3,0,1
undone,1112,667,17,4,9
undress,263,92,4,1,1
undressed,131,55,10,0,0
undying,156,29,2,1,2
une,202,48,34,0,0
uneasy,110,34,4,0,2
unemployed,78,40,1,0,1
unemployment,86,22,2,2,1
unending,78,51,4,0,0
unexpected,186,86,1,1,2
unfair,256,151,9,2,3
unfaithful,105,31,3,4,1
unfamiliar,105,54,5,0,0
unfold,515,227,22,7,2
unfolding,95,46,3,0,0
unfolds,246,101,11,3,3
unforgettable,82,123,1,0,0
unforgiven,76,33,4,0,0
unforgiving,94,37,1,0,1
unfortunate,130,47,3,3,0
unfortunately,88,26,2,1,2
unfurled,86,34,3,0,1
ungrateful,79,42,4,0,0
unh,109,90,5,2,0
unhappy,387,176,15,6,4
unheard,183,56,3,0,3
unholy,537,102,15,0,5
unicorn,84,30,2,0,0
uniform,313,61,5,2,3
union,509,154,20,1,24
unique,353,181,15,1,3
unit,514,93,5,0,1
unite,469,175,27,26,29
united,759,234,13,8,54
units,87,19,24,0,0
unity,366,120,6,2,7
universal,437,117,13,3,1
universe,1408,720,36,16,10
unjust,83,27,3,1,0
unkind,568,147,58,14,3
unknown,1680,716,54,12,16
unleash,219,76,5,2,1
unleashed,230,52,2,1,2
unless,1730,851,60,4,11
unlike,245,131,8,0,5
unlikely,74,40,1,0,1
unlimited,64,46,5,0,1
unload,126,49,2,0,1
unlock,322,132,7,1,0
unlocked,93,55,2,1,0
unlucky,71,35,6,1,3
unnatural,87,33,1,0,5
unnecessary,76,37,3,0,0
uno,144,74,8,0,0
unpredictable,153,100,4,0,0
unravel,77,60,0,0,0
unraveling,69,43,2,0,0
unreal,413,91,20,11,2
unsaid,271,132,9,1,0
unseen,521,173,20,2,6
unspeakable,90,41,3,0,0
unspoken,326,138,17,1,2
unstable,143,43,7,1,1
unstoppable,187,252,0,0,1
unsung,101,30,7,3,0
unsure,202,85,14,2,2
untamed,95,55,2,0,1
untie,118,47,3,0,2
untied,82,40,4,0,5
untill,114,30,1,0,0
unto,853,310,60,14,4
untold,274,89,7,0,1
untouchable,209,76,5,0,0
untouched,135,51,5,0,1
untrue,513,211,24,2,7
